DST_IP,family
93.184.220.29,3
93.184.221.240,4
95.100.244.20,4
95.100.245.144,3
95.100.245.251,3
95.100.246.21,2
95.101.129.146,3
95.101.129.194,5
95.101.129.203,2
95.101.129.233,4
95.101.129.235,2
95.101.129.43,2
95.101.143.201,4
95.101.143.219,5
96.126.99.208,2
96.16.110.114,4
99.80.119.232,2
99.81.164.152,4
